No	categoryId	categoryTitleKo	beverageId	nameKo	description	rarity	unlockLevel	timeLimited	recipeId	recipeKind	shopAvailability
1	espressoBasic	에스프레소/기본 커피	americano	아메리카노	깔끔한 첫 잔. 모든 운영의 기준이 돼요.	common	1		americano	standard	standard
2	espressoBasic	에스프레소/기본 커피	espresso	에스프레소	짧고 진한 기본 추출.	common	2			현재 도감만 존재	
3	espressoBasic	에스프레소/기본 커피	doppio	도피오	샷을 두 배로 담은 진한 잔.	common	3			현재 도감만 존재	
4	espressoBasic	에스프레소/기본 커피	lungo	룽고	긴 추출로 부드럽게 늘린 커피.	common	4			현재 도감만 존재	
5	espressoBasic	에스프레소/기본 커피	ristretto	리스트레토	짧은 추출의 농밀한 향.	uncommon	6			현재 도감만 존재	
6	espressoBasic	에스프레소/기본 커피	cafe_crema	카페 크레마	부드러운 크레마가 남는 기본 커피.	uncommon	7			현재 도감만 존재	
7	espressoBasic	에스프레소/기본 커피	cold_brew	콜드브루	천천히 내려 차분한 산미를 담아요.	uncommon	9			현재 도감만 존재	
8	espressoBasic	에스프레소/기본 커피	long_black	롱 블랙	물 위에 샷을 얹어 향을 살려요.	uncommon	10			현재 도감만 존재	
9	milkCoffee	기본 우유 커피	latte	카페 라떼	우유와 샷의 부드러운 균형.	common	11		latte	standard	standard
10	milkCoffee	기본 우유 커피	cappuccino	카푸치노	거품과 샷의 가벼운 균형.	common	12			현재 도감만 존재	
11	milkCoffee	기본 우유 커피	flat_white	플랫 화이트	얇은 밀크폼으로 향을 선명하게.	common	14			현재 도감만 존재	
12	milkCoffee	기본 우유 커피	cortado	코르타도	샷과 우유를 짧게 맞춘 잔.	uncommon	15			현재 도감만 존재	
13	milkCoffee	기본 우유 커피	cafe_au_lait	카페 오레	편안한 우유 커피의 기본.	common	17			현재 도감만 존재	
14	milkCoffee	기본 우유 커피	milk_espresso	밀크 에스프레소	우유 위에 샷을 짧게 올려요.	uncommon	18			현재 도감만 존재	
15	milkCoffee	기본 우유 커피	oat_latte	오트 라떼	고소한 식물성 라떼.	uncommon	19			현재 도감만 존재	
16	milkCoffee	기본 우유 커피	breve_latte	브레베 라떼	크림감이 진한 우유 커피.	rare	20			현재 도감만 존재	
17	sweetLatte	시럽/달달 라떼	vanilla_latte	바닐라 라떼	바닐라 향이 은은하게 남아요.	uncommon	21			현재 도감만 존재	
18	sweetLatte	시럽/달달 라떼	caramel_latte	카라멜 라떼	고소한 단맛을 올린 라떼.	uncommon	22			현재 도감만 존재	
19	sweetLatte	시럽/달달 라떼	hazelnut_latte	헤이즐넛 라떼	견과 향이 부드럽게 퍼져요.	uncommon	24			현재 도감만 존재	
20	sweetLatte	시럽/달달 라떼	honey_latte	허니 라떼	꿀의 따뜻한 단맛을 담아요.	rare	25			현재 도감만 존재	
21	sweetLatte	시럽/달달 라떼	maple_latte	메이플 라떼	깊은 시럽 향이 남는 라떼.	rare	27			현재 도감만 존재	
22	sweetLatte	시럽/달달 라떼	cinnamon_latte	시나몬 라떼	향신료가 조용히 올라와요.	rare	28			현재 도감만 존재	
23	sweetLatte	시럽/달달 라떼	brown_sugar_latte	흑당 라떼	진한 단맛의 오후 메뉴.	rare	29			현재 도감만 존재	
24	sweetLatte	시럽/달달 라떼	salted_caramel_latte	솔티드 카라멜 라떼	짭조름한 끝맛이 있는 라떼.	rare	30			현재 도감만 존재	
25	mochaDessert	모카/디저트 커피	mocha	카페 모카	초코와 샷이 만나는 기본 디저트.	uncommon	31			현재 도감만 존재	
26	mochaDessert	모카/디저트 커피	white_mocha	화이트 모카	부드럽고 달콤한 모카 변주.	rare	32			현재 도감만 존재	
27	mochaDessert	모카/디저트 커피	chocolate_latte	초코 라떼	커피 없이도 편안한 달콤함.	uncommon	33			현재 도감만 존재	
28	mochaDessert	모카/디저트 커피	affogato	아포가토	달콤한 크림 위에 샷을 얹어요.	rare	35		affogato	standard	standard
29	mochaDessert	모카/디저트 커피	cream_mocha	크림 모카	크림과 모카 소스의 묵직한 잔.	rare	36			현재 도감만 존재	
30	mochaDessert	모카/디저트 커피	tiramisu_latte	티라미수 라떼	디저트 향을 라떼로 접어요.	rare	37			현재 도감만 존재	
31	mochaDessert	모카/디저트 커피	cocoa_espresso	코코아 에스프레소	쌉싸름한 코코아와 진한 샷.	rare	38			현재 도감만 존재	
32	mochaDessert	모카/디저트 커피	dessert_con_panna	디저트 콘파냐	크림 위에 향을 짧게 남겨요.	signature	39			현재 도감만 존재	
33	teaLatte	말차/티 라떼	matcha_latte	말차 라떼	쌉싸름한 녹차와 우유의 균형.	uncommon	40			현재 도감만 존재	
34	teaLatte	말차/티 라떼	hojicha_latte	호지차 라떼	볶은 차 향이 따뜻하게 남아요.	rare	40			현재 도감만 존재	
35	teaLatte	말차/티 라떼	black_tea_latte	홍차 라떼	차분한 향의 우유 티.	uncommon	41			현재 도감만 존재	
36	teaLatte	말차/티 라떼	earl_grey_latte	얼그레이 라떼	베르가못 향이 은은한 라떼.	rare	42			현재 도감만 존재	
37	teaLatte	말차/티 라떼	chai_latte	차이 라떼	향신료를 얹은 티 라떼.	rare	43			현재 도감만 존재	
38	teaLatte	말차/티 라떼	matcha_espresso	말차 에스프레소	말차 위에 샷을 천천히 올려요.	rare	45			현재 도감만 존재	
39	teaLatte	말차/티 라떼	royal_milk_tea	로열 밀크티	홍차를 진하게 끓인 고급 메뉴.	signature	46			현재 도감만 존재	
40	teaLatte	말차/티 라떼	jasmine_tea_latte	자스민 티 라떼	꽃향이 조용히 남는 티 라떼.	rare	47			현재 도감만 존재	
41	refreshing	청량/아이스/논커피	lemonade_coffee	레모네이드 커피	산뜻한 산미와 커피의 조합.	uncommon	48			현재 도감만 존재	
42	refreshing	청량/아이스/논커피	sparkling_ade	스파클링 에이드	탄산으로 가볍게 쉬어가는 잔.	common	49			현재 도감만 존재	
43	refreshing	청량/아이스/논커피	iced_peach_tea	아이스 피치티	달콤한 복숭아 향의 아이스 티.	common	50			현재 도감만 존재	
44	refreshing	청량/아이스/논커피	espresso_tonic	에스프레소 토닉	탄산 위에 샷을 띄운 청량 메뉴.	rare	50			현재 도감만 존재	
45	refreshing	청량/아이스/논커피	fruit_coffee_fizz	프루트 커피 피즈	과일 베이스와 커피의 밝은 조합.	rare	51			현재 도감만 존재	
46	refreshing	청량/아이스/논커피	mint_cooler	민트 쿨러	가볍고 시원한 논커피 메뉴.	uncommon	52			현재 도감만 존재	
47	refreshing	청량/아이스/논커피	grapefruit_cold_brew	자몽 콜드브루	자몽 산미를 얹은 콜드브루.	rare	53			현재 도감만 존재	
48	refreshing	청량/아이스/논커피	blue_soda	블루 소다	손님 눈에 먼저 들어오는 청량 메뉴.	rare	55			현재 도감만 존재	
49	rareIngredient	희귀 재료 음료	rare_bean_latte	희귀 원두 라떼	비싼 원두 향을 우유로 감싸요.	rare	56			현재 도감만 존재	
50	rareIngredient	희귀 재료 음료	honey_cream_espresso	허니 크림 에스프레소	꿀과 크림을 짧게 올린 잔.	rare	57			현재 도감만 존재	
51	rareIngredient	희귀 재료 음료	matcha_cream_mocha	말차 크림 모카	말차와 모카의 진한 교차점.	signature	58			현재 도감만 존재	
52	rareIngredient	희귀 재료 음료	fruit_cream_latte	과일 크림 라떼	과일 베이스와 크림의 부드러운 잔.	rare	59			현재 도감만 존재	
53	rareIngredient	희귀 재료 음료	gold_vanilla_latte	골드 바닐라 라떼	희귀 재료를 더한 고급 바닐라.	signature	60			현재 도감만 존재	
54	rareIngredient	희귀 재료 음료	rare_caramel_shot	희귀 카라멜 샷	짧지만 값이 높은 카라멜 메뉴.	signature	60			현재 도감만 존재	
55	rareIngredient	희귀 재료 음료	black_sesame_latte	흑임자 라떼	고소한 재료감이 강한 라떼.	rare	61			현재 도감만 존재	
56	rareIngredient	희귀 재료 음료	chestnut_cream_latte	밤 크림 라떼	가을 느낌의 묵직한 크림 라떼.	signature	62			현재 도감만 존재	
57	timeLimited	시간대 한정 음료	morning_mist_latte	모닝 미스트 라떼	아침 공기처럼 연한 한정 라떼.	rare	64	morning	morning_mist_latte	time_limited	timeWindow
58	timeLimited	시간대 한정 음료	noon_citrus_coffee	정오의 시트러스 커피	낮에만 어울리는 산뜻한 커피.	rare	65	day	noon_citrus_coffee	time_limited	timeWindow
59	timeLimited	시간대 한정 음료	evening_caramel_crema	이브닝 카라멜 크레마	저녁빛을 닮은 카라멜 메뉴.	signature	67	evening	evening_caramel_crema	time_limited	timeWindow
60	timeLimited	시간대 한정 음료	night_velvet_mocha	나이트 벨벳 모카	밤에만 조용히 꺼내는 모카.	signature	68	night	night_velvet_mocha	time_limited	timeWindow
61	timeLimited	시간대 한정 음료	dawn_honey_shot	새벽 허니 샷	이른 시간에 달게 깨우는 잔.	rare	69	morning	dawn_honey_shot	time_limited	timeWindow
62	timeLimited	시간대 한정 음료	sunset_tea_latte	선셋 티 라떼	해질녘에 어울리는 차분한 티 라떼.	signature	70	evening	sunset_tea_latte	time_limited	timeWindow
63	timeLimited	시간대 한정 음료	midnight_tonic	미드나잇 토닉	밤의 탄산감이 있는 한정 메뉴.	signature	71	night	midnight_tonic	time_limited	timeWindow
64	timeLimited	시간대 한정 음료	traveler_blend	떠돌이 블렌드	판매상이 남기고 가는 계절 블렌드.	rare	72	day	traveler_blend	time_limited	timeWindow
65	signature	시그니처 음료	house_signature	하우스 시그니처	카페의 첫 대표 메뉴.	signature	74			현재 도감만 존재	
66	signature	시그니처 음료	white_garden_latte	화이트 가든 라떼	차분한 꽃향을 닮은 라떼.	signature	75			현재 도감만 존재	
67	signature	시그니처 음료	velvet_crema	벨벳 크레마	부드러운 크레마를 오래 남겨요.	signature	77			현재 도감만 존재	
68	signature	시그니처 음료	atelier_mocha	아틀리에 모카	공방처럼 정성스럽게 쌓은 모카.	signature	78			현재 도감만 존재	
69	signature	시그니처 음료	rose_vanilla_latte	로즈 바닐라 라떼	장미와 바닐라 향의 조용한 조합.	signature	79			현재 도감만 존재	
70	signature	시그니처 음료	coffee_blossom	커피 블라썸	커피 향이 꽃처럼 퍼지는 메뉴.	signature	80			현재 도감만 존재	
71	signature	시그니처 음료	nutty_cloud	너티 클라우드	견과 향과 크림이 올라간 대표 메뉴.	signature	81			현재 도감만 존재	
72	signature	시그니처 음료	cafe_2048_signature	카페 2048 시그니처	2048번째 잔을 기다리는 상징 메뉴.	signature	83			현재 도감만 존재	
73	legendaryCollection	전설/고급 컬렉션 음료	legendary_espresso	전설의 에스프레소	깊은 성장 끝에 남는 가장 짧은 잔.	legendary	85			현재 도감만 존재	
74	legendaryCollection	전설/고급 컬렉션 음료	moonlight_affogato	문라이트 아포가토	달빛 같은 크림과 샷의 컬렉션 메뉴.	legendary	87			현재 도감만 존재	
75	legendaryCollection	전설/고급 컬렉션 음료	golden_crema	골든 크레마	빛나는 크레마가 오래 남는 잔.	legendary	89			현재 도감만 존재	
76	legendaryCollection	전설/고급 컬렉션 음료	collector_latte	컬렉터 라떼	수집가를 위한 후반 라떼.	legendary	90			현재 도감만 존재	
77	legendaryCollection	전설/고급 컬렉션 음료	royal_mocha	로열 모카	가장 무거운 모카 컬렉션.	legendary	91			현재 도감만 존재	
78	legendaryCollection	전설/고급 컬렉션 음료	starlight_tea	스타라이트 티	밤하늘을 닮은 고급 티 메뉴.	legendary	94			현재 도감만 존재	
79	legendaryCollection	전설/고급 컬렉션 음료	ancient_bean_brew	고대 원두 브루	오래된 원두 기록을 담은 잔.	legendary	97			현재 도감만 존재	
80	legendaryCollection	전설/고급 컬렉션 음료	final_cup	파이널 컵	마지막 레벨의 조용한 목표.	legendary	100			현재 도감만 존재	
